title,releaseDate,genre,language
Hal,2018-09-07,"Documentary, Biography",English
Last Film Show,2022-12-02,Drama,Gujarati
The Pink Cloud,2022-01-14,"Drama, Sci-fi",Portuguese (Brazil)
Guardians of the Galaxy Vol. 2,2017-05-05,"Sci-fi, Adventure, Action, Fantasy, Comedy",English
Young Plato,2022-09-23,Documentary,English
Mr. Holmes,2015-07-24,"Mystery & thriller, Drama",English
Ittefaq,2017-11-03,Mystery & thriller,Hindi
The Great Alaskan Race,2019-10-25,"Adventure, Drama",English
One Cut of the Dead,2019-09-13,"Comedy, Horror",Japanese
Memory: The Origins of Alien,2019-10-04,Documentary,English
BlacKkKlansman,2018-08-10,"Comedy, Drama, Crime",English
Riot Girls,2019-09-13,Action,English
The Territory,2022-08-19,Documentary,Portuguese (Brazil)
We the Animals,2018-08-17,"Drama, Lgbtq+",English
Guilty,2015-10-02,"Crime, Drama, Mystery & thriller",English
Beirut,2018-04-11,"Mystery & thriller, Drama",English
Spring,2015-03-20,Mystery & thriller,English
Ballet 422,2015-02-06,"Documentary, Music",English
Soorma,2018-07-13,"Biography, Drama",Hindi
Reefa,2021-04-16,"Crime, Drama",English
Those Who Remained,2020-02-14,Drama,Hungarian
Who Will Write Our History,2019-01-18,Documentary,English
Richard Linklater: Dream Is Destiny,2016-08-05,Documentary,English
The Party,2018-02-16,"Comedy, Drama",English (United Kingdom)
Extra Ordinary,2020-03-06,"Comedy, Fantasy",English (United Kingdom)
Escapes,2017-07-26,Documentary,English
The Aeronauts,2019-12-06,"Adventure, Drama",English
Mission: Impossible Rogue Nation,2015-07-31,"Action, Adventure, Mystery & thriller",English
The Icarus Line Must Die,2018-06-20,"Drama, Music",English
Did You Wonder Who Fired the Gun?,2018-02-28,Documentary,English
Brittany Runs a Marathon,2019-09-13,"Comedy, Drama",English
Neon Bull,2016-04-08,Drama,Portuguese (Brazil)
Kékszakállú,2017-07-21,Drama,Spanish
Champion,2018-05-11,"Comedy, Drama",Korean
Being Evel,2015-08-21,"Documentary, Biography",English
Babylon,2019-03-08,Drama,English
The Shape of Water,2017-12-22,"Fantasy, Romance",English
Alex & Eve,2017-10-13,Comedy,English
The Desert Bride,2018-05-04,Drama,Spanish
Araby,2018-06-08,Drama,Portuguese (Brazil)
Take My Nose... Please!,2017-03-04,Documentary,English
Apollo 11,2019-03-08,"Documentary, History, Drama",English
Golden Arm,2021-04-30,Comedy,English
Dear Zoe,2022-11-04,Drama,English
Puss in Boots: The Last Wish,2022-12-21,"Kids & family, Comedy, Adventure, Animation",English
Walking Out,2017-10-06,"Adventure, Drama",English
Citizen Jane: Battle for the City,2017-04-21,Documentary,English
The Jesus Music,2021-10-01,"Documentary, Music",English
Mayhem,2017-11-10,"Horror, Action",English
Bone Tomahawk,2015-10-23,"Western, Action, Horror, Comedy",English
Emily the Criminal,2022-08-12,"Crime, Drama, Mystery & thriller",English
Salt in My Soul,2022-01-21,"Documentary, Biography",English
The Price of Everything,2018-10-19,Documentary,English
Beauty and the Dogs,2018-03-23,"Crime, Drama",Arabic
Quincy,2018-09-21,"Documentary, Music",English
Gosnell,2018-10-12,"Crime, Drama",English
Words on Bathroom Walls,2020-08-21,"Romance, Drama",English
Every Time I Die,2019-08-09,"Mystery & thriller, Horror",English
Memoria,2016-05-06,"Drama, Biography",English
Clara,2019-05-03,"Sci-fi, Drama",English
Kingsman: The Secret Service,2015-02-13,"Action, Adventure, Comedy",English
EMMA.,2020-03-06,"Romance, Drama",English (United Kingdom)
The Velvet Queen,2021-12-22,Documentary,French (France)
The Swimmers,2022-11-11,"Drama, Biography, Sports",English
Of Fathers and Sons,2018-11-16,Documentary,Arabic
Batman: Return of the Caped Crusaders,2016-10-10,"Action, Adventure, Animation",English
Beasts Clawing at Straws,2020-10-21,"Mystery & thriller, Crime, Drama",Korean
Birds of Passage,2019-02-13,"Crime, Drama",Spanish
A Private War,2018-11-16,"Biography, Drama, War",English
The Treasure,2016-01-08,Comedy,Romanian
Blue Bayou,2021-09-17,Drama,English
Over the Moon,2020-10-23,"Kids & family, Musical, Comedy, Adventure, Fantasy, Animation",English
Lost Illusions,2022-06-10,"Drama, History",French (France)
The Hours and Times,2019-03-01,Drama,English
"Acasa, My Home",2021-01-15,Documentary,Romanian
Bright,2017-12-22,"Action, Mystery & thriller, Fantasy",English
Battle of the Sexes,2017-09-29,"Comedy, Drama",English
The Nest,2020-09-18,"Mystery & thriller, Drama",English (United Kingdom)
Thank You for Playing,2016-03-18,Biography,English
Parallel Mothers,2021-12-24,Drama,Spanish (Spain)
Marshall,2017-10-13,"History, Drama, Biography",English
Chained for Life,2019-09-11,Drama,English
Blood on the Mountain,2016-11-18,Documentary,English
Palio,2015-11-06,"Documentary, Drama",Italian
Max Reload and the Nether Blasters,2020-08-07,"Fantasy, Adventure",English
12 Days,2018-03-16,Documentary,French (France)
Restless Creature: Wendy Whelan,2017-05-24,"Documentary, Music",English
How to Train Your Dragon: The Hidden World,2019-02-22,"Kids & family, Fantasy, Adventure, Comedy, Animation",English
The Wounded Man,2023-01-05,"Drama, Mystery & thriller, Lgbtq+",French (Canada)
Identifying Features,2021-01-22,Drama,Spanish
The Macaluso Sisters,2021-08-06,Drama,Italian
Fatima,2020-08-28,"History, Drama",English
Sing 2,2021-12-22,"Kids & family, Musical, Comedy, Animation",English
Mank,2020-11-13,"Biography, Comedy, Drama",English
The Girl With All the Gifts,2017-02-24,"Horror, Mystery & thriller",English
Shadow,2019-05-03,"Action, Adventure",Chinese
Paul Taylor: Creative Domain,2015-09-11,"Documentary, Biography",English
Mrs. Harris Goes to Paris,2022-07-15,"Comedy, Drama",English
After Yang,2022-03-04,"Sci-fi, Drama",English
Jinn,2018-11-15,Drama,English
In Front of Your Face,2022-05-06,Drama,Korean
I Carry You With Me,2021-06-25,"Drama, Romance, Lgbtq+",Spanish
Slash,2016-12-09,"Comedy, Drama",English
#Female Pleasure,2019-10-18,Documentary,English
Sand Storm,2016-09-28,Drama,Arabic
(T)ERROR,2015-10-07,Documentary,English
Lez Bomb,2018-11-09,"Holiday, Comedy, Lgbtq+",English
The Death of Stalin,2018-03-09,Comedy,English
A Monster Calls,2017-01-06,"Fantasy, Adventure, Drama",English
Bill Nye: Science Guy,2017-10-27,Documentary,English
Annihilation,2018-02-23,"Sci-fi, Adventure, Mystery & thriller",English
I'm Your Man,2021-09-24,"Romance, Comedy, Sci-fi",German
Bad Match,2017-11-03,Mystery & thriller,English
Bad Day for the Cut,2017-10-20,Mystery & thriller,English (United Kingdom)
Phoenix,2015-07-24,"History, Drama",German
Fire of Love,2022-07-06,"Documentary, Biography",French (Canada)
Midsommar,2019-08-30,"Horror, Mystery & thriller",English
Revenge,2018-05-11,Mystery & thriller,English
Watcher,2022-06-03,Mystery & thriller,English
All This Panic,2017-03-31,Documentary,English
Luther: The Fallen Sun,2023-02-24,"Crime, Drama, Mystery & thriller",English (United Kingdom)
Shirkers,2018-10-26,Documentary,English
The Changed,2022-03-04,"Horror, Sci-fi, Mystery & thriller",English
The Deer King,2022-07-13,"Fantasy, Anime, Adventure",Japanese
A Man of Integrity,2022-06-17,Drama,Persian
The Long Walk,2022-02-18,"Sci-fi, Mystery & thriller",Lao
A-ha: The Movie,2022-04-08,"Documentary, Music",English
Dior and I,2015-04-10,Documentary,English
Tetris,2023-03-24,"Mystery & thriller, Biography, Drama",English
Scandalous: The Untold Story of the National Enquirer,2019-11-15,Documentary,English
The Roundup,2022-05-20,"Crime, Drama, Action",Korean
Badlapur,2015-02-20,"Crime, Drama, Mystery & thriller, Action",Hindi
National Bird,2016-11-11,Documentary,English
2022 Oscar Nominated Shorts - Animation,2022-02-25,Animation,English
"Nico, 1988",2018-08-01,"Biography, History, Drama, Music",English
A Stray,2016-10-21,Drama,English
Sollers Point,2018-05-11,Drama,English
Under the Shadow,2016-10-07,"Horror, Mystery & thriller",Persian
Path of Blood,2018-07-13,Documentary,English
Sully,2016-09-09,"Drama, Biography",English
"Aliens, Clowns & Geeks",2021-01-30,"Comedy, Sci-fi",English
Maze,2019-03-22,"Mystery & thriller, Drama",English (United Kingdom)
Loudmouth,2022-12-09,"Documentary, Biography",English
Unrest,2017-09-22,Documentary,English
Redeeming Love,2022-01-21,"Romance, History, Drama",English
Alanis,2018-11-30,Drama,Spanish
On Sacred Ground,2023-01-13,Drama,English
Cop Secret,2022-07-08,"Action, Comedy, Crime",Icelandic
Krisha,2016-03-18,"Holiday, Drama",English
Hope Springs Eternal,2018-08-10,"Comedy, Drama",English
Love & Friendship,2016-05-27,Comedy,English
Her Smell,2019-04-12,"Drama, Music",English
Jeremiah Tower: The Last Magnificent,2017-04-21,Documentary,English
A Ciambra,2018-01-19,Drama,Italian
Adopting Audrey,2022-08-26,Drama,English
Miss Hokusai,2016-10-14,"Biography, History, Drama, Anime",Japanese
5B,2019-06-14,Documentary,English
Joshy,2016-08-12,"Comedy, Drama",English
Cheatin',2015-04-03,"Comedy, Animation",English
Loveless,2018-02-16,Drama,Russian
In the Basement,2015-11-06,Documentary,German
Burning,2018-10-26,"Mystery & thriller, Drama",Korean
American Factory,2019-08-21,Documentary,English
Difret,2015-10-23,Drama,Amharic
Dumplin',2018-12-07,"Comedy, Drama",English
The Duke,2022-04-22,"Comedy, Drama",English (United Kingdom)
Mifune: The Last Samurai,2016-11-25,Documentary,English
Rapid Response,2019-09-06,Documentary,English
Ex Machina,2015-04-24,"Sci-fi, Mystery & thriller, Drama",English
Miss Kiet's Children,2017-12-13,Documentary,Dutch
The Cakemaker,2018-06-29,"Drama, Lgbtq+",English
David Crosby: Remember My Name,2019-07-19,"Documentary, Music",English
Taylor Swift: Miss Americana,2020-01-31,"Documentary, Music",English
Dinner in America,2022-05-27,"Comedy, Drama",English
A Vigilante,2019-03-29,Drama,English
Fortune Favors Lady Nikuko,2022-06-03,"Comedy, Drama, Anime",Japanese
The Greatest Showman,2017-12-20,"Musical, Biography, History, Drama",English
Nitram,2022-03-30,"Mystery & thriller, Crime, Drama",English (Australia)
Charlotte Has Fun,2019-03-29,Comedy,French (Canada)
By the Grace of God,2019-10-18,Drama,French (France)
Antonio Lopez 1970: Sex Fashion & Disco,2018-09-14,Documentary,English
Tickling Giants,2017-03-15,Documentary,English
These Final Hours,2015-03-06,"Mystery & thriller, Sci-fi",English
The Penny Black,2021-05-21,Documentary,English
Woodstock: Three Days That Defined a Generation,2019-05-24,"Documentary, Music",English
Boys State,2020-07-31,Documentary,English
Sweet Thing,2021-06-18,Drama,English
Hearts Beat Loud,2018-06-08,"Comedy, Drama, Music",English
Klaus,2019-11-08,"Kids & family, Holiday, Comedy, Adventure, Animation",English
Saint-Narcisse,2021-09-17,"Drama, Romance, Comedy",English
Angels Wear White,2018-05-04,Drama,Chinese
Long Weekend,2021-03-12,"Romance, Comedy, Drama",English
Disobedience,2018-05-18,"Romance, Drama, Lgbtq+",English
The Banshees of Inisherin,2022-11-04,Comedy,English
Uncharted,2022-02-18,"Adventure, Action",English
Miss Sharon Jones!,2016-07-29,"Documentary, Music",English
Let It Fall: Los Angeles 1982-1992,2017-04-21,Documentary,English
Kicks,2016-09-09,"Comedy, Drama",English
Sye Raa Narasimha Reddy,2019-10-04,"Drama, Action",Telugu
Mustang,2015-11-20,Drama,Turkish
Bye Bye Germany,2018-04-13,"Comedy, Drama, War",German
A Good Person,2023-03-24,Drama,English
Cat Daddies,2022-10-14,Documentary,English
The Farewell,2019-08-02,"Comedy, Drama",English
Sicilian Ghost Story,2018-11-30,"Fantasy, Romance",Italian
Navalny,2022-04-11,Documentary,Russian
Yesterday,2019-06-28,"Romance, Comedy, Music",English
Death on the Nile,2022-02-11,"Mystery & thriller, Crime, Drama",English
A Love Song,2022-07-29,"Drama, Romance",English
And Then We Danced,2020-02-07,"Drama, Romance, Lgbtq+",Georgian
Southside With You,2016-08-26,"Romance, Biography, Drama",English
"Love, Simon",2018-03-16,"Romance, Comedy, Drama, Lgbtq+",English
Chhapaak,2020-01-10,Drama,Hindi
Straight Up,2020-02-28,"Romance, Comedy",English
Stars Fell Again,2023-02-03,"Holiday, Romance, Comedy",English
Star Wars: The Last Jedi,2017-12-15,"Sci-fi, Adventure, Action, Fantasy",English
Dream Horse,2021-05-21,"Comedy, Drama",English
The Ground Beneath My Feet,2019-07-26,Drama,German
Arabian Nights: Volume 3 -- The Enchanted One,2015-12-18,Drama,Portuguese (Brazil)
Recorder: The Marion Stokes Project,2019-11-15,Documentary,English
The Great Hack,2019-07-24,Documentary,English
Women Talking,2023-01-20,Drama,English
The Founder,2017-01-20,"Biography, History, Drama",English
The Breadwinner,2017-11-17,"Drama, Animation",English
A Man Called Otto,2023-01-13,"Comedy, Drama",English
Last Christmas,2019-11-08,"Holiday, Romance, Comedy",English
VFW,2020-02-14,"Action, Mystery & thriller",English
Sidemen: Long Road to Glory,2017-08-18,"Documentary, Music",English
The Summit of the Gods,2021-11-24,"Adventure, Drama, Animation",French (France)
No Greater Love,2017-11-10,Documentary,English
What Our Fathers Did: A Nazi Legacy,2015-11-06,Documentary,English (United Kingdom)
Black Souls,2015-04-10,"Crime, Drama",Italian
Queen Mimi,2016-05-13,Documentary,English
A Hero,2022-01-07,Drama,Persian
Jay Myself,2019-07-31,Documentary,English
Silence,2017-01-13,"History, Drama",English
Man vs Snake: The Long and Twisted Tale of Nibbler,2016-06-24,Documentary,English
Laila Majnu,2018-09-07,"Romance, Drama",Hindi
Before You Know It,2019-08-30,Comedy,English
Pig,2021-07-16,"Drama, Mystery & thriller",English
The Wandering Earth II,2023-01-22,"Sci-fi, Action, Adventure",Chinese
The Sisters Brothers,2018-10-19,"Western, Comedy, Crime, Drama",English
Uncut Gems,2019-12-25,"Mystery & thriller, Comedy",English
Vadh,2022-12-09,Mystery & thriller,Hindi
Colette,2018-10-12,"Biography, History, Drama",English
Echoes of Violence,2021-08-24,"Mystery & thriller, Crime, Drama",English
My True Fairytale,2021-04-09,"Drama, Mystery & thriller",English
Bisbee '17,2018-09-05,Documentary,English
Two Lottery Tickets,2021-05-21,Comedy,Romanian
Elle,2016-11-11,"Mystery & thriller, Drama",French (France)
Sea of Shadows,2019-07-12,"Documentary, Crime, Drama, History",English
Giant Little Ones,2019-03-01,Drama,English
The Sparks Brothers,2021-06-18,"Documentary, Music",English
Weathering With You,2020-01-15,"Drama, Fantasy, Anime",Japanese
Avatar: The Way of Water,2022-12-16,"Sci-fi, Adventure, Action, Fantasy",English
The Love Witch,2016-11-11,"Horror, Comedy, Drama",English
Through the Glass Darkly,2021-09-24,"Mystery & thriller, Drama, Lgbtq+",English
Wolfwalkers,2020-11-13,"Fantasy, Adventure, Animation",English
The Night House,2021-08-20,"Horror, Mystery & thriller",English
Let the Wrong One In,2022-04-01,"Horror, Comedy",English
The Wonders,2015-10-30,Drama,Italian
My Best Part,2022-02-25,"Comedy, Drama",French (France)
Gift,2019-10-11,Documentary,English
20th Century Women,2017-01-20,"Comedy, Drama",English
Seymour: An Introduction,2015-03-13,Documentary,English
The Photograph,2020-02-14,"Romance, Drama",English
Ocean Boy,2023-02-03,Drama,English (Australia)
Ashes in the Snow,2019-01-11,"History, Drama",English
A Chiara,2022-05-27,Drama,Italian
Animals,2015-05-15,Drama,English
Godland,2023-02-03,Drama,Danish
"Lyle, Lyle, Crocodile",2022-10-07,"Kids & family, Musical, Comedy, Animation",English
Rapture,2021-10-01,Drama,Spanish (Spain)
Beautiful Beings,2023-01-13,Drama,Icelandic
Get Out,2017-02-24,"Horror, Mystery & thriller, Comedy",English
Demain,2017-04-14,Documentary,English
Gasoline Alley,2022-02-25,"Action, Mystery & thriller",English
A Gray State,2017-11-03,Documentary,English
Southbound,2016-02-05,"Horror, Mystery & thriller",English
Tethered,2022-03-18,"Horror, Mystery & thriller, Drama",English
4 Days in France,2017-08-04,"Comedy, Drama, Romance, Lgbtq+",French (France)
Alcarràs,2023-01-06,Drama,Catalan
Code 8,2019-12-06,Sci-fi,English
A Cops and Robbers Story,2022-01-14,"Documentary, Biography",English
Zappa,2020-11-23,"Documentary, Music, Biography",English
Boiling Point,2021-11-19,"Drama, Mystery & thriller",English
Collective,2020-11-20,Documentary,Romanian
The Magician's Elephant,2023-03-10,"Kids & family, Adventure, Animation",English
Hooligan Sparrow,2016-07-22,"Documentary, Crime, Drama",Chinese
The Handmaiden,2016-10-21,"Mystery & thriller, Drama, Romance",Korean
Three Identical Strangers,2018-06-29,"Documentary, Biography, Drama, History, Mystery & thriller",English
Sprinter,2019-04-24,Drama,English
What Still Remains,2018-08-10,"Drama, Mystery & thriller",English
The Cat Rescuers,2019-07-05,Documentary,English
Mid90s,2018-10-26,"Comedy, Drama",English
White Snake,2019-11-15,"Fantasy, Romance, Animation",Chinese
The Upside,2019-01-11,"Comedy, Drama",English
Prevenge,2017-03-24,"Comedy, Drama, Fantasy, Horror, Mystery & thriller",English (United Kingdom)
The Runner,2022-08-19,Mystery & thriller,English
Love & Taxes,2017-03-03,Comedy,English
Echoes of the Empire: Beyond Genghis Khan,2022-06-03,"Documentary, History",English
Halston,2019-05-24,Documentary,English
It Comes at Night,2017-06-09,"Horror, Mystery & thriller",English
The Irishman,2019-11-01,"Crime, Drama",English
Strange but True,2019-09-06,Mystery & thriller,English
Those Who Wish Me Dead,2021-05-14,"Action, Mystery & thriller",English
Light of My Life,2019-08-09,Drama,English
Backstreet Boys: Show 'Em What You're Made Of,2015-01-30,Documentary,English
Neither Wolf Nor Dog,2017-03-30,Drama,English
The Last Laugh,2017-03-03,Documentary,English
Longing,2018-10-17,Drama,Hebrew
Cairo Conspiracy,2023-01-27,"Drama, Mystery & thriller",Arabic
63 Up,2019-11-27,Documentary,English (United Kingdom)
Benediction,2022-06-03,"Biography, History, Drama, War, Lgbtq+",English
The Dead Center,2019-10-11,Mystery & thriller,English
King Georges,2016-02-26,Documentary,English
Anaïs in Love,2022-04-29,"Romance, Comedy, Lgbtq+, Drama",French (France)
I Am Not Your Negro,2017-02-03,Documentary,English
In Search of Greatness,2018-11-02,Documentary,English
Apples,2022-06-24,"Comedy, Drama",English
Depraved,2019-09-13,"Horror, Mystery & thriller",English
If Beale Street Could Talk,2019-01-11,"Crime, Drama, Romance",English
Mistress America,2015-09-04,Comedy,English
Darkest Hour,2017-12-22,"History, Drama, Biography, War",English
The B-Side: Elsa Dorfman's Portrait Photography,2017-06-30,Documentary,English
Frozen II,2019-11-22,"Kids & family, Musical, Comedy, Adventure, Animation",English
Spaceship Earth,2020-05-08,Documentary,English
Dream Boat,2017-11-03,"Documentary, Lgbtq+",English
"The Godfather, Coda: The Death of Michael Corleone",2020-12-04,"Crime, Drama",English
Megan Leavey,2017-06-09,"War, Biography, Drama",English
Champs,2015-03-13,"Documentary, Biography",English
Pyewacket,2018-03-23,"Horror, Mystery & thriller",English
Bombshell: The Hedy Lamarr Story,2017-11-24,Documentary,English
Tickled,2016-06-17,"Documentary, Mystery & thriller, Lgbtq+",English
Deadpool,2016-02-12,"Action, Adventure, Comedy, Fantasy",English
Rose Plays Julie,2021-03-19,Drama,English (United Kingdom)
The Blind Man Who Did Not Want to See Titanic,2023-02-03,"Comedy, Drama, Mystery & thriller",Finnish
The Innocents,2022-05-13,"Horror, Mystery & thriller",Norwegian
So B. It,2017-10-06,Drama,English
Eat Wheaties!,2021-04-30,Comedy,English
The Salt of the Earth,2015-03-27,Documentary,Portuguese (Brazil)
Echo in the Canyon,2019-05-24,"Documentary, Music",English
93Queen,2018-01-01,Documentary,English
War for the Planet of the Apes,2017-07-14,"Sci-fi, Action, Adventure",English
Our Friend,2021-01-22,Drama,English
Bergman Island,2021-10-15,"Romance, Drama",English
Assassination,2015-08-07,"Adventure, History, Drama",Korean
Chi-Town,2019-02-21,Documentary,English
Operation Fortune: Ruse de guerre,2023-03-03,"Action, Comedy, Mystery & thriller",English
This Changes Everything,2019-06-28,Documentary,English
Famous,2021-12-10,Drama,English
Queen & Slim,2019-11-27,"Crime, Drama, Romance",English
Predestination,2015-01-09,"Sci-fi, Action, Mystery & thriller",English (Australia)
Saint Frances,2020-02-28,"Comedy, Drama",English
Mosul,2019-04-12,Documentary,English
Dancer,2016-09-09,Documentary,English
Triumph,2021-04-30,Drama,English
Planet Earth: One Amazing Day,2017-10-06,Documentary,English
I Am Another You,2017-09-27,Documentary,English
Joseph Pulitzer: Voice of the People,2019-03-01,Documentary,English
Trust Machine: The Story of Blockchain,2018-10-26,Documentary,English
The Inspection,2022-12-02,"Drama, Lgbtq+",English
Dogman,2019-04-12,Drama,Italian
Who We Are Now,2018-05-25,Drama,English
"Introducing, Selma Blair",2021-10-15,Documentary,English
King Cohen: The Wild World of Filmmaker Larry Cohen,2018-07-06,Documentary,English
Eden,2015-06-19,Drama,French (Canada)
Only the Brave,2017-10-20,"Drama, Adventure",English
Infinity Pool,2023-01-27,"Horror, Mystery & thriller, Sci-fi",English
Wild Canaries,2015-02-25,"Comedy, Mystery & thriller, Romance",English
Mortal Kombat,2021-04-23,"Action, Adventure, Fantasy",English
Fire in the Mountains,2022-05-20,Drama,Hindi
When Two Worlds Collide,2016-08-17,Documentary,Spanish
Rosenwald,2015-08-14,Documentary,English
Judy,2019-09-27,"Biography, History, Drama, Music",English
"Tick, Tick... Boom!",2021-11-12,"Musical, Drama, Biography",English
The Batman,2022-03-04,"Action, Adventure, Crime, Drama",English
Herself,2020-12-30,Drama,English (United Kingdom)
"The Gangster, the Cop, the Devil",2019-06-07,"Action, Mystery & thriller, Crime, Drama",Korean
Bodied,2018-11-02,Comedy,English
Patti Cake$,2017-08-18,"Drama, Music",English
"My Donkey, My Lover & I",2022-07-22,"Romance, Comedy",French (France)
James White,2015-11-13,Drama,English
Don't Blink -- Robert Frank,2016-07-13,Documentary,English
Too Late to Die Young,2019-05-31,Drama,Spanish
#Unfit: The Psychology of Donald Trump,2020-08-28,Documentary,English
Jesus Revolution,2023-02-24,"Drama, History",English
The Never List,2020-12-11,Drama,English
We're All Going to the World's Fair,2022-04-15,"Horror, Drama",English
John Wick: Chapter 3 -- Parabellum,2019-05-17,"Action, Mystery & thriller",English
Prosecuting Evil: The Extraordinary World of Ben Ferencz,2019-02-22,Documentary,English
Do I Sound Gay?,2015-07-10,"Documentary, Lgbtq+",English
Gleason,2016-07-29,Documentary,English
Aquarius,2016-10-14,Drama,Portuguese (Brazil)
The Wolf and the Lion,2022-02-04,Drama,English
Miss Juneteenth,2020-06-19,Drama,English
King Otto,2022-03-25,Documentary,Greek
Eiffel,2022-06-03,"Biography, Drama, Romance",French
"Riotsville, USA",2022-09-16,"Documentary, History",English
Great Freedom,2022-03-04,Drama,German
Citizen Ashe,2021-12-03,"Documentary, Biography",English
Cold Case Hammarskjöld,2019-08-16,Documentary,English
National Parks Adventure,2016-02-12,Documentary,English
Ramen Shop,2019-03-22,Drama,Japanese
Supercell,2023-03-17,"Adventure, Mystery & thriller",English
Pinball: The Man Who Saved the Game,2023-03-17,"Comedy, Drama",English
Violet Evergarden,2020-02-17,"Drama, Anime",Japanese
Every Breath You Take,2021-04-02,Mystery & thriller,English
Sicario,2015-10-02,"Mystery & thriller, Crime, Drama",English
Te Ata,2017-09-29,"Biography, History, Drama",English
Emily,2023-02-17,"Biography, History, Drama, Romance",English (United Kingdom)
Ryuichi Sakamoto: Coda,2018-07-06,"Documentary, Music",Japanese
Fantastic Beasts: The Secrets of Dumbledore,2022-04-15,"Fantasy, Adventure",English (United Kingdom)
The Volcano: Rescue From Whakaari,2022-12-09,Documentary,English
Aftersun,2022-10-21,Drama,English (United Kingdom)
Love & Mercy,2015-06-05,"Biography, Drama",English
High Ground,2021-05-14,"Adventure, Drama",English (Australia)
The King,2019-10-11,"History, Drama, Biography",English
Old Stone,2016-11-30,"Mystery & thriller, Drama",Chinese
My Entire High School Sinking Into the Sea,2017-04-14,"Adventure, Comedy, Animation",English
Once Were Brothers: Robbie Robertson and The Band,2020-02-21,Music,English
Last Men in Aleppo,2017-05-03,"Documentary, War",Arabic
"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",2021-07-02,"Documentary, Music",English
The Pickle Recipe,2016-11-04,Comedy,English
Pieces of a Woman,2020-12-30,Drama,English
Hope,2021-04-16,"Drama, Romance",Norwegian
"Lo and Behold, Reveries of the Connected World",2016-08-19,Documentary,English
Rogue One: A Star Wars Story,2016-12-16,"Sci-fi, Adventure, Action, Fantasy",English
Fiddler's Journey to the Big Screen,2022-04-29,"Documentary, History",English
Fagara,2019-09-13,Drama,Chinese
Ema,2021-08-13,Drama,Spanish
Boston,2017-04-19,Documentary,English
The Painted Bird,2020-07-17,Drama,Czech
Limbo,2021-04-30,"Comedy, Drama",English
Fight for Space,2017-05-19,Documentary,English
WarHunt,2022-01-21,"Horror, Mystery & thriller",English
Women He's Undressed,2016-07-29,Documentary,English
The Devil to Pay,2020-10-02,Mystery & thriller,English
Hypochondriac,2022-07-29,"Horror, Mystery & thriller, Lgbtq+",English
Peter and the Farm,2016-11-04,Documentary,English
Pathaan,2023-01-25,"Action, Mystery & thriller, Romance",Hindi
Eating Animals,2018-06-15,Documentary,English
Beba,2022-06-24,Documentary,Spanish
Dream Big: Engineering Our World,2017-02-17,Documentary,English
Paint It Black,2017-05-19,Drama,English
Worlds Apart,2017-01-13,"Drama, Romance",English
Ali & Ava,2022-07-29,"Drama, Romance",English
"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",2017-11-17,Documentary,Kalaallisut
Varda by Agnès,2019-11-22,"Documentary, Biography",French (France)
They Shall Not Grow Old,2019-02-01,"Documentary, History, Drama, War",English (United Kingdom)
The Perfect Candidate,2021-05-14,Drama,Arabic
Tár,2022-10-28,"Drama, Music",English
The Lost King,2023-03-24,"Comedy, Drama",English
Custody,2018-06-29,"Drama, Mystery & thriller",French (France)
200 Meters,2022-11-18,Drama,Arabic
Piku,2015-05-08,"Comedy, Drama",Hindi
Charming the Hearts of Men,2021-08-13,"Comedy, Drama",English
The Killing of Two Lovers,2021-05-14,Drama,English
Safe Spaces,2019-12-09,Comedy,English
Kung Fu Elliot,2015-02-27,Documentary,English
Left on Purpose,2017-02-10,"Documentary, Biography, Drama",English
Night of the Kings,2021-02-26,Drama,French (France)
Barracuda,2017-10-06,"Mystery & thriller, Drama",English
Tyger Tyger,2021-02-26,Mystery & thriller,English
PG: Psycho Goreman,2021-01-22,"Horror, Comedy",English
After Love,2023-01-20,Drama,English
The Clan,2016-01-26,"Biography, Crime, Drama, Mystery & thriller",Spanish
Princess Cyd,2017-11-03,"Drama, Romance, Lgbtq+",English
The Bob's Burgers Movie,2022-05-27,"Comedy, Mystery & thriller, Animation",English
The Gilligan Manifesto,2018-11-16,Documentary,English
100 Years of Men in Love: The Accidental Collection,2022-03-23,"Documentary, History, Lgbtq+",English
Sonic the Hedgehog 2,2022-04-08,"Kids & family, Comedy, Adventure, Fantasy",English
The Rescue,2020-12-18,"Action, Mystery & thriller",Chinese
The Amina Profile,2015-07-24,Documentary,English
The Power of the Dog,2021-11-17,"Western, Drama, Romance",English
Love and Monsters,2020-10-16,"Fantasy, Adventure, Comedy",English
Clash,2017-08-25,"Drama, Mystery & thriller",Arabic
Survivors Guide to Prison,2018-02-23,Documentary,English
Sword of Trust,2019-07-12,Comedy,English
Assassin 33 A.D.,2020-01-24,Sci-fi,English
Terrifier 2,2022-10-06,"Holiday, Horror, Mystery & thriller",English
Wildlike,2015-09-25,"Adventure, Drama",English
Julia,2021-11-12,Documentary,English
Lansky,2021-06-25,"Crime, Drama, Biography",English
Angel Has Fallen,2019-08-23,"Action, Mystery & thriller",English
Fourteen,2020-05-15,Drama,English
The Last Matinee,2021-08-06,"Horror, Mystery & thriller",Spanish
An Action Hero,2022-12-02,Action,Hindi
Operator,2016-11-08,"Comedy, Drama",English
